iter	Accuracy	MultiClass
0	0.3985714286	3.053984517
1	0.3987142857	2.885754738
2	0.3987142857	2.769036944
3	0.3984285714	2.680656732
4	0.3984285714	2.613856245
5	0.3984285714	2.559994023
6	0.3984285714	2.515790518
7	0.3984285714	2.420573109
8	0.399	2.349247252
9	0.4001428571	2.29657638
10	0.4018571429	2.245084871
11	0.4061428571	2.204163663
12	0.4064285714	2.173387023
13	0.406	2.154315832
14	0.4095714286	2.127697026
15	0.4092857143	2.105552856
16	0.413	2.083245616
17	0.4132857143	2.066440361
18	0.4151428571	2.046046325
19	0.4151428571	2.036710488
20	0.4142857143	2.024665901
21	0.4161428571	2.012137629
22	0.4174285714	1.999130598
23	0.4174285714	1.989196404
24	0.4195714286	1.981779308
25	0.4211428571	1.970739344
26	0.422	1.962714529
27	0.4227142857	1.955707593
28	0.4228571429	1.947819334
29	0.4225714286	1.942104996
30	0.4237142857	1.935843649
31	0.4234285714	1.933777857
32	0.4245714286	1.927802747
33	0.4245714286	1.920766136
34	0.4251428571	1.913906058
35	0.4255714286	1.910088914
36	0.4262857143	1.907483257
37	0.4261428571	1.90370147
38	0.426	1.901412603
39	0.4267142857	1.899077124
40	0.4268571429	1.895784368
41	0.4265714286	1.892517216
42	0.4281428571	1.889310618
43	0.4284285714	1.886221472
44	0.4284285714	1.884369192
45	0.4284285714	1.883699667
46	0.4285714286	1.882972152
47	0.4284285714	1.878163701
48	0.429	1.875040095
49	0.4291428571	1.873296781
50	0.4292857143	1.872806891
51	0.4291428571	1.871394319
52	0.429	1.86998457
53	0.43	1.866939048
54	0.4295714286	1.865671998
55	0.4297142857	1.861801393
56	0.429	1.859217463
57	0.4295714286	1.856230773
58	0.4295714286	1.854233503
59	0.4301428571	1.851189126
60	0.4304285714	1.850359378
61	0.4304285714	1.849881639
62	0.4301428571	1.848211262
63	0.4305714286	1.847297353
64	0.4311428571	1.843730742
65	0.4327142857	1.840407071
66	0.4327142857	1.839755477
67	0.4321428571	1.836462364
68	0.4324285714	1.833583172
69	0.4322857143	1.831397632
70	0.4328571429	1.830427013
71	0.433	1.829232784
72	0.4332857143	1.828244813
73	0.4337142857	1.826215311
74	0.4338571429	1.824602003
75	0.4342857143	1.823005631
76	0.4345714286	1.822522185
77	0.4345714286	1.820983863
78	0.4344285714	1.81854652
79	0.4345714286	1.818399386
80	0.4347142857	1.815188802
81	0.435	1.814190052
82	0.4351428571	1.813403569
83	0.4357142857	1.812590875
84	0.4368571429	1.809942531
85	0.4381428571	1.805059749
86	0.4375714286	1.803808646
87	0.4392857143	1.801938502
88	0.4394285714	1.800399394
89	0.4402857143	1.798219761
90	0.44	1.796373558
91	0.4397142857	1.795169341
92	0.4395714286	1.79317417
93	0.4394285714	1.791383704
94	0.441	1.788915821
95	0.4411428571	1.785716507
96	0.4411428571	1.785193581
97	0.4414285714	1.784028455
98	0.442	1.782582102
99	0.4414285714	1.780923787
100	0.4415714286	1.778301057
101	0.4427142857	1.77666483
102	0.4434285714	1.774923172
103	0.4432857143	1.773914353
104	0.443	1.772350451
105	0.4428571429	1.769870341
106	0.4435714286	1.768155226
107	0.4432857143	1.766818458
108	0.4431428571	1.76615629
109	0.4437142857	1.765531911
110	0.4442857143	1.763338834
111	0.4448571429	1.760704472
112	0.4452857143	1.759506174
113	0.445	1.757190876
114	0.4454285714	1.755475827
115	0.4458571429	1.754257227
116	0.4458571429	1.753389687
117	0.4462857143	1.750932479
118	0.4467142857	1.748650784
119	0.4471428571	1.747934533
120	0.4475714286	1.746978636
121	0.4485714286	1.743926131
122	0.4492857143	1.743148783
123	0.4494285714	1.742436465
124	0.4491428571	1.741294437
125	0.4497142857	1.740024837
126	0.4502857143	1.738992617
127	0.4497142857	1.737355213
128	0.4497142857	1.736078083
129	0.4494285714	1.7330589
130	0.4501428571	1.731230353
131	0.4501428571	1.730019155
132	0.4505714286	1.727358594
133	0.4507142857	1.726595803
134	0.4517142857	1.72431596
135	0.451	1.723596594
136	0.4517142857	1.723372256
137	0.4515714286	1.722419728
138	0.4525714286	1.720932934
139	0.4534285714	1.719284799
140	0.4535714286	1.716878267
141	0.4537142857	1.714982435
142	0.4544285714	1.713318438
143	0.4544285714	1.71296429
144	0.455	1.712060894
145	0.4548571429	1.711656527
146	0.4548571429	1.710950923
147	0.4554285714	1.710373655
148	0.455	1.709714809
149	0.456	1.708486692
150	0.4564285714	1.707332375
151	0.4554285714	1.705866808
152	0.4567142857	1.703690054
153	0.4564285714	1.702671833
154	0.4564285714	1.702428958
155	0.4561428571	1.700448056
156	0.4572857143	1.699424558
157	0.4574285714	1.69837419
158	0.4568571429	1.697182794
159	0.4572857143	1.694975978
160	0.4581428571	1.692771873
161	0.4591428571	1.6918381
162	0.4597142857	1.691363256
163	0.4602857143	1.690251468
164	0.46	1.68804728
165	0.4594285714	1.686666003
166	0.46	1.684690705
167	0.46	1.683795526
168	0.4601428571	1.683754525
169	0.4605714286	1.682820179
170	0.4607142857	1.681634545
171	0.4607142857	1.680641615
172	0.4612857143	1.679891386
173	0.4612857143	1.678830693
174	0.4617142857	1.678206317
175	0.4625714286	1.677141204
176	0.4618571429	1.675144856
177	0.462	1.674470572
178	0.4621428571	1.673273624
179	0.4624285714	1.672350291
180	0.4627142857	1.671714283
181	0.4627142857	1.670202172
182	0.4627142857	1.670015497
183	0.4634285714	1.668827798
184	0.464	1.667303834
185	0.4642857143	1.665517674
186	0.4647142857	1.665165557
187	0.4652857143	1.664173886
188	0.4657142857	1.663125991
189	0.4657142857	1.66310097
190	0.4665714286	1.661185206
191	0.4671428571	1.660794984
192	0.4668571429	1.659709648
193	0.4668571429	1.659668603
194	0.4674285714	1.65806178
195	0.4675714286	1.656670005
196	0.4677142857	1.655659694
197	0.4672857143	1.655043739
198	0.4677142857	1.652359452
199	0.469	1.651015888
