iter	Passed	Remaining
0	6061	1206232
1	9813	971522
2	12683	832912
3	14168	694245
4	14638	570905
5	15105	488426
6	17893	493346
7	25788	618913
8	32845	697062
9	37598	714367
10	44688	767826
11	51258	803056
12	56152	807734
13	62417	829262
14	69378	855669
15	76025	874294
16	82391	886915
17	89955	909553
18	96952	923602
19	104092	936833
20	111746	952505
21	120135	972004
22	128332	987602
23	137583	1008948
24	145825	1020781
25	152074	1017727
26	159082	1019303
27	166465	1022573
28	173069	1020513
29	179611	1017798
30	186405	1016208
31	194285	1019996
32	202513	1024842
33	212220	1036133
34	221131	1042478
35	229940	1047508
36	239917	1056934
37	248633	1059961
38	256982	1060874
39	264237	1056948
40	272359	1056223
41	280099	1053708
42	286688	1046747
43	296100	1049810
44	304704	1049538
45	312575	1046449
46	317475	1033485
47	325623	1031141
48	334300	1030192
49	342620	1027862
50	344127	1005390
51	352942	1004528
52	360249	999181
53	368815	997166
54	377585	995453
55	385281	990724
56	392622	985000
57	398530	975711
58	405950	970153
59	412574	962672
60	419144	955100
61	426568	949459
62	433653	943024
63	441382	937937
64	448560	931625
65	456328	926484
66	464400	921869
67	471880	916003
68	478987	909382
69	484784	900314
70	491405	892835
71	497969	885279
72	505237	878975
73	512414	872489
74	519556	865927
75	527525	860698
76	535089	854752
77	542334	848267
78	549604	841799
79	552321	828482
80	559497	821978
81	566723	815528
82	572371	806837
83	579271	799946
84	586697	793767
85	595602	789519
86	603876	784345
87	611096	777759
88	618303	771142
89	626191	765345
90	633505	758814
91	642248	753943
92	649694	747498
93	657246	741150
94	664839	734822
95	672300	728325
96	680563	722659
97	688826	716941
98	694885	708923
99	704020	704020
100	712363	698257
101	720352	692103
102	729757	687246
103	735886	679279
104	743602	672783
105	751013	665993
106	757444	658339
107	764258	651035
108	770949	643636
109	777379	636037
110	784678	629156
111	792474	622658
112	799018	615173
113	806379	608321
114	814329	601895
115	821777	595079
116	829248	588270
117	836724	581452
118	844138	574581
119	851066	567377
120	859257	561003
121	867385	554557
122	874349	547357
123	883320	541390
124	893430	536058
125	902915	530283
126	911757	524081
127	919173	517035
128	926924	510167
129	934612	503253
130	944320	497390
131	953657	491278
132	962105	484669
133	970958	478233
134	980092	471896
135	987655	464778
136	994836	457479
137	1004184	451155
138	1011914	444077
139	1018919	436679
140	1028283	430274
141	1036651	423421
142	1045314	416663
143	1054092	409924
144	1063084	403238
145	1071969	396481
146	1080604	389605
147	1089080	382649
148	1099064	376189
149	1108563	369521
150	1117949	362778
151	1130172	356896
152	1140271	350279
153	1148456	343045
154	1156709	335818
155	1165686	328783
156	1173633	321441
157	1181863	314166
158	1190537	306993
159	1198125	299531
160	1206067	292152
161	1213913	284745
162	1221851	277352
163	1229611	269914
164	1237871	262578
165	1245519	255106
166	1252130	247427
167	1260456	240086
168	1268630	232707
169	1276856	225327
170	1285409	217993
171	1293239	210527
172	1300630	202988
173	1309499	195672
174	1317450	188207
175	1324859	180662
176	1332664	173171
177	1339520	165558
178	1345818	157889
179	1352970	150330
180	1359042	142661
181	1366567	135155
182	1373702	127611
183	1379682	119972
184	1385752	112358
185	1392535	104814
186	1399620	97299
187	1406630	89784
188	1414396	82319
189	1421638	74823
190	1428903	67330
191	1435005	59791
192	1442470	52317
193	1448883	44810
194	1456070	37335
195	1463842	29874
196	1471688	22411
197	1479213	14941
198	1486970	7472
199	1494095	0
